"CODIGO_ESTADO","ESTADO.x","POPULARIDAD","ESTADO.y","remesas_2017"
19,"Nuevo León",100,"Nuevo León",828.6984
5,"Coahuila",17,"Coahuila",470.528
24,"San Luis Potosí",14,"San Luis Potosí",1043.9503
26,"Sonora",11,"Sonora",432.7553
9,"Distrito Federal",10,"Distrito Federal",1310.8245
15,"Jalisco",10,"Jalisco",2796.5493
22,"Querétaro",10,"Querétaro",567.0758
28,"Tamaulipas",10,"Tamaulipas",691.1125
23,"Quintana Roo",10,"Quintana Roo",140.4865
12,"Guanajuato",9,"Guanajuato",2558.7376
2,"Baja California",8,"Baja California",754.1786
21,"Puebla",8,"Puebla",1558.377
8,"Chihuahua",7,"Chihuahua",768.1191
17,"Morelos",7,"Morelos",616.4447
30,"Veracruz",6,"Veracruz",1193.6165
14,"Hidalgo",6,"Hidalgo",784.6551
7,"Chiapas",6,"Chiapas",621.437
1,"Aguascalientes",6,"Aguascalientes",409.8143
11,"Estado de México",5,"Estado de México",1679.5576
25,"Sinaloa",4,"Sinaloa",688.79
31,"Yucatán",4,"Yucatán",154.6045
16,"Michoacán",4,"Michoacán",2914.8693
