Elecciones 2018,Meade,Anaya,AMLO
1,1,1,13
0,0,1,12
1,1,1,19
1,1,3,27
1,0,2,25
1,1,1,15
1,1,1,24
1,0,1,18
1,1,1,16
1,1,1,18
1,0,1,22
1,0,1,18
1,0,1,35
1,0,1,28
1,1,1,27
1,0,1,21
1,1,2,36
1,0,1,32
4,1,6,36
1,0,1,20
1,1,1,13
1,2,1,12
1,2,1,13
1,1,1,11
1,1,1,11
1,1,1,11
1,1,1,16
1,3,1,13
2,3,1,12
2,3,5,14
2,2,3,14
2,2,4,16
1,2,1,17
1,1,1,15
2,2,2,15
2,3,5,14
3,7,6,14
3,7,3,14
2,4,2,16
2,3,1,15
2,4,1,18
3,3,1,16
3,7,2,24
5,100,4,35
4,27,5,37
4,16,19,50
5,27,15,45
5,21,12,40
7,21,16,48
10,21,17,56
9,21,22,60
14,27,17,67
