Elecciones 2018,Meade,Anaya,AMLO
1,1,3,3
1,1,3,3
2,2,6,4
1,3,5,4
1,2,3,3
1,3,3,3
2,4,3,2
1,2,3,4
1,2,4,5
1,2,2,3
1,3,4,4
0,2,3,4
1,2,2,4
1,1,4,3
1,2,3,4
1,3,3,2
2,2,3,3
2,2,3,4
2,2,2,4
1,2,3,4
1,2,3,4
2,1,5,3
2,1,3,2
3,2,4,3
1,2,3,3
1,1,2,2
1,1,2,4
2,2,2,5
1,1,4,6
1,2,3,5
2,6,4,6
0,5,3,5
2,3,3,5
1,1,2,4
2,100,16,6
3,98,10,6
3,50,6,7
1,34,5,8
3,22,6,4
2,20,5,5
1,22,5,6
2,21,6,11
2,16,4,10
1,13,5,7
2,12,3,7
1,8,6,5
1,7,9,7
3,7,22,6
2,7,18,6
2,9,11,10
1,8,8,11
2,12,9,23
2,14,9,20
3,10,10,12
2,16,9,9
2,22,9,9
2,21,11,8
2,18,10,6
1,18,10,9
1,14,12,8
2,12,7,6
2,11,6,10
2,14,8,5
1,12,11,7
2,13,10,7
1,15,9,6
2,15,11,8
2,12,11,8
1,14,6,8
3,9,9,8
3,10,9,6
2,11,11,9
4,11,12,13
2,15,12,14
3,12,11,7
3,12,10,9
5,13,11,9
6,12,14,9
4,15,16,13
4,14,13,10
5,10,14,14
5,10,10,10
3,12,9,13
4,13,9,13
4,11,14,12
3,16,15,12
4,12,20,13
4,18,17,14
4,19,14,15
3,15,12,16
6,16,12,15
