CODIGO_ESTADO,REGION,PAN,PRI,PRD,MORENA
1,Aguascalientes,27,34,20,27
2,Baja California,25,28,7,16
3,Baja California Sur,34,15,5,19
4,Campeche,37,100,0,44
5,Coahuila,39,38,7,27
6,Colima,30,61,14,39
7,Chiapas,38,38,12,59
8,Chihuahua,29,28,10,28
9,Distrito Federal,61,65,25,68
10,Durango,57,34,4,31
11,Guanajuato,27,25,6,17
12,Guerrero,25,61,19,33
13,Hidalgo,40,45,8,32
14,Jalisco,37,33,8,25
15,Estado de Mexico,50,88,21,69
16,Michoacan,36,18,17,22
17,Morelos,21,24,9,34
18,Nayarit,26,36,4,40
19,Nuevo Leon,31,27,7,18
20,Oaxaca,34,30,21,66
21,Puebla,39,33,10,39
22,Queretaro,39,37,10,25
23,Quintana Roo,28,21,8,39
24,San Luis Potosi,29,34,12,40
25,Sinaloa,38,32,9,15
26,Sonora,42,37,12,33
27,Tabasco,41,38,41,72
28,Tamaulipas,33,27,4,17
29,Tlaxcala,30,61,5,56
30,Veracruz,52,60,17,72
31,Yucatan,42,41,15,30
32,Zacatecas,17,56,16,22
