CODIGO_ESTADO,REGION,PAN,PRI,PRD,MORENA,N-PAN,N-PRI,N-PRD,N-MORENA,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,AUTO
3,Baja California Sur,34,15,5,19,0.465753425,0.205479452,0.068493151,0.260273973,2.251290323,63.55754949,87.98030769,10.6391752,4.566100468,3.762516503,39.38112957,44.60800784,22.438369,68.38743542
2,Baja California,25,28,7,16,0.328947368,0.368421053,0.092105263,0.210526316,2.148587381,53.43524038,92.16352842,5.035145882,3.888743784,2.420066468,40.78137672,44.33473327,30.26338242,67.74253508
8,Chihuahua,29,28,10,28,0.305263158,0.294736842,0.105263158,0.294736842,2.495186144,80.68546252,95.71098296,1.69410568,5.018319181,4.431885874,30.83663483,39.52132596,25.32920038,64.12100195
26,Sonora,42,37,12,33,0.338709677,0.298387097,0.096774194,0.266129032,2.482598425,83.32427919,95.14774191,2.761341818,5.602345632,3.612072133,38.39815037,40.9697134,26.00601616,60.56847952
14,Jalisco,37,33,8,25,0.359223301,0.32038835,0.077669903,0.242718447,2.5039093,85.46495629,95.47902254,2.196807399,4.816907731,5.20095608,34.2425966,41.72808745,34.25990567,56.72293034
1,Aguascalientes,27,34,20,27,0.25,0.314814815,0.185185185,0.25,2.431986418,79.44319695,94.95987439,3.211104611,5.038493488,3.490458834,37.25240901,40.72892779,22.46069468,56.67060004
5,Coahuila,39,38,7,27,0.351351351,0.342342342,0.063063063,0.243243243,2.45226506,85.69809722,96.61096266,2.203614825,5.458329475,3.579136962,36.17031312,38.88890154,23.48490837,55.92464703
32,Zacatecas,17,56,16,22,0.153153153,0.504504505,0.144144144,0.198198198,3.112304813,87.7213574,94.55607643,2.017473202,6.921685363,7.268862855,18.44765034,34.05358687,34.25605411,55.86953133
19,Nuevo Leon,31,27,7,18,0.373493976,0.325301205,0.084337349,0.21686747,2.276878637,77.02283414,94.71320585,2.998679209,4.233022899,2.861121307,40.0136683,41.69667249,21.31365526,55.72015729
28,Tamaulipas,33,27,4,17,0.407407407,0.333333333,0.049382716,0.209876543,2.363471639,72.25138399,94.13998855,3.320053107,4.823205902,4.452314461,36.58678361,39.38913881,23.33409706,54.48701904
