"CODIGO_ESTADO","NOMBRE_ESTADO","ELECCIONES","NOMINAL","PAN","PCONV","PH","PMC","PMOR","PNA","PPM","PRD","PRI","PS","PSD","PSM","PT","PVEM","IND1_DIF15","IND2_DIF15","NO_REG"
1,"aguascalientes","dif-2009",764362,95746,10799,0,0,0,36148,0,14476,92583,0,3394,319,6428,42273,0,0,966
1,"aguascalientes","dif-2012",0,148494,0,0,7489,0,57783,0,50816,144719,0,0,0,12079,25821,0,0,638
1,"aguascalientes","dif-2015",0,100733,0,8370,5884,16984,23307,0,12673,92384,10336,0,0,7325,21841,0,0,728
1,"aguascalientes","prs-2012",812673,152338,0,0,7760,0,33697,0,82134,181472,0,0,0,12608,9242,0,0,392
1,"aguascalientes","sen-2012",0,159315,0,0,7037,0,62253,0,48326,140055,0,0,0,10973,21765,0,0,516
2,"baja california","dif-2009",2162690,268238,8507,0,0,0,50149,0,42393,182547,0,8012,1162,17203,79864,0,0,1222
2,"baja california","dif-2012",0,362128,0,0,24319,0,56464,0,250419,433421,0,0,0,36412,45558,0,0,752
2,"baja california","dif-2015",0,223382,0,23066,54013,99272,37965,0,29498,141069,47351,0,0,27230,29380,0,0,2223
2,"baja california","prs-2012",2323235,342706,0,0,24461,0,35196,0,334588,450503,0,0,0,34297,17202,0,0,491
2,"baja california","sen-2012",0,390622,0,0,26242,0,47723,0,261056,326335,0,0,0,39233,49469,0,0,718
3,"baja california sur","dif-2009",382435,21202,1818,0,0,0,10710,0,48478,30523,0,1320,216,3649,8029,0,0,228
3,"baja california sur","dif-2012",0,88360,0,0,4628,0,9555,0,36236,76070,0,0,0,6760,6664,0,0,178
3,"baja california sur","dif-2015",0,99868,0,8196,2225,15379,6150,0,15926,59854,9389,0,0,11792,5219,0,0,378
3,"baja california sur","prs-2012",430342,75513,0,0,4676,0,4972,0,53266,102628,0,0,0,5659,2612,0,0,97
3,"baja california sur","sen-2012",0,81874,0,0,4559,0,5821,0,37887,88216,0,0,0,6188,5069,0,0,153
4,"campeche","dif-2009",523221,135661,9363,0,0,0,12587,0,5896,144741,0,888,469,3578,8391,0,0,87
4,"campeche","dif-2012",0,108552,0,0,9171,0,19517,0,43535,158319,0,0,0,6993,7801,0,0,225
4,"campeche","dif-2015",0,121644,0,4163,4682,47999,17556,0,13248,128129,7922,0,0,4061,7641,0,0,150
4,"campeche","prs-2012",563812,108561,0,0,11313,0,9787,0,83148,147337,0,0,0,8718,2890,0,0,87
4,"campeche","sen-2012",0,110393,0,0,11703,0,15937,0,50875,138867,0,0,0,8081,6675,0,0,123
5,"coahuila","dif-2009",1830833,169627,4928,0,0,0,23532,0,25016,504932,0,2982,937,10837,51042,0,0,925
5,"coahuila","dif-2012",0,421879,0,0,11840,0,42897,0,141700,413279,0,0,0,23784,39796,0,0,596
5,"coahuila","dif-2015",0,215141,0,16914,17828,45647,52710,0,23204,418961,25098,0,0,11589,38816,0,0,583
5,"coahuila","prs-2012",1901824,431007,0,0,12327,0,27935,0,198350,453770,0,0,0,23978,13322,0,0,383
5,"coahuila","sen-2012",0,425569,0,0,12075,0,39170,0,144522,410774,0,0,0,24380,37271,0,0,587
6,"colima","dif-2009",437481,114059,1542,0,0,0,4937,0,5583,112902,0,786,70,14253,10156,0,0,109
6,"colima","dif-2012",0,107671,0,0,2945,0,5618,0,30417,124102,0,0,0,11506,7684,0,0,151
6,"colima","dif-2015",0,101159,0,3987,12422,6109,5173,0,50659,89756,3733,0,0,7095,11143,0,0,88
6,"colima","prs-2012",471895,101394,0,0,3856,0,4878,0,56075,120539,0,0,0,8347,3544,0,0,108
6,"colima","sen-2012",0,103875,0,0,2981,0,5008,0,28499,131197,0,0,0,9014,8886,0,0,171
7,"chiapas","dif-2009",2772706,287490,32114,0,0,0,25367,20896,282808,280615,0,7332,4182,45598,78136,0,0,927
7,"chiapas","dif-2012",0,312070,0,0,21365,0,96607,0,387265,550567,0,0,0,59159,445527,0,0,1035
7,"chiapas","dif-2015",0,60750,0,17762,27249,93555,31401,0,82905,373948,21988,0,0,42006,677598,0,0,984
7,"chiapas","prs-2012",3016603,326766,0,0,25625,0,48113,0,543745,606851,0,0,0,66211,328526,0,0,382
7,"chiapas","sen-2012",0,294502,0,0,22844,0,83684,0,393122,576190,0,0,0,60514,457724,0,0,1127
8,"chihuahua","dif-2009",2538442,236037,7478,0,0,0,44871,0,30231,334034,0,6730,1469,20036,92700,0,0,1395
8,"chihuahua","dif-2012",0,347636,0,0,15240,0,70868,0,172417,504927,0,0,0,30959,62122,0,0,1009
8,"chihuahua","dif-2015",0,210070,0,16762,27267,53401,63288,0,25716,300464,27913,0,0,19257,41071,1749,0,1402
8,"chihuahua","prs-2012",2500641,328172,0,0,17271,0,48283,0,253650,596599,0,0,0,30707,22776,0,0,747
8,"chihuahua","sen-2012",0,365278,0,0,15968,0,63160,0,175802,491850,0,0,0,31041,63799,0,0,946
9,"distrito federal","dif-2009",7272346,614491,65989,0,0,0,102037,1196,755413,486769,0,68526,9441,314327,262736,0,0,12480
9,"distrito federal","dif-2012",0,899326,0,0,124265,0,148299,0,2094757,1000342,0,0,0,226097,152787,0,0,5332
9,"distrito federal","dif-2015",0,447480,0,100421,143597,771661,88651,0,651343,386153,197515,0,0,55545,159241,6471,0,9337
9,"distrito federal","prs-2012",7216743,841491,0,0,98898,0,87195,0,2279721,1217392,0,0,0,186678,40456,0,0,3920
9,"distrito federal","sen-2012",0,924732,0,0,124002,0,144322,0,2084575,983517,0,0,0,230335,159429,0,0,4738
10,"durango","dif-2009",1121032,117380,1906,0,0,0,13210,0,22348,247336,0,2943,673,30029,24252,0,0,405
10,"durango","dif-2012",0,180090,0,0,4617,0,16565,0,66146,277515,0,0,0,58880,20125,0,0,311
10,"durango","dif-2015",0,86936,0,9163,28711,26085,18722,0,21943,229109,10404,0,0,29937,19830,0,0,444
10,"durango","prs-2012",1145130,193989,0,0,6267,0,15408,0,99218,313523,0,0,0,36147,7001,0,0,182
10,"durango","sen-2012",0,209239,0,0,3978,0,13896,0,55866,288429,0,0,0,39219,14183,0,0,312
11,"guanajuato","dif-2009",3687867,765535,35954,0,0,0,50135,477,132372,467173,0,21323,1245,31014,213009,0,0,1609
11,"guanajuato","dif-2012",0,943649,0,0,26644,0,83497,0,191235,790631,0,0,0,30209,124611,0,0,1115
11,"guanajuato","dif-2015",0,752582,0,48535,52524,62285,76634,0,117016,433127,46998,0,0,25550,187146,0,0,1895
11,"guanajuato","prs-2012",3860238,949023,0,0,19553,0,63304,0,253877,878769,0,0,0,25764,56492,0,0,1069
11,"guanajuato","sen-2012",0,955749,0,0,27177,0,73821,0,184746,681429,0,0,0,30134,133127,0,0,1352
12,"guerrero","dif-2009",2256180,76902,38735,0,0,0,20508,7688,219742,290558,0,7797,2629,22471,34739,0,0,414
12,"guerrero","dif-2012",0,138638,0,0,60284,0,38284,0,529732,436221,0,0,0,46771,51832,0,0,735
12,"guerrero","dif-2015",0,76783,0,24324,104715,52549,32973,0,389761,448427,18557,0,0,58584,73739,0,0,402
12,"guerrero","prs-2012",2343145,153757,0,0,49287,0,20213,0,567614,498766,0,0,0,44273,32468,0,0,221
12,"guerrero","sen-2012",0,119106,0,0,60644,0,26498,0,554210,429201,0,0,0,48897,47514,0,0,583
13,"hidalgo","dif-2009",1771564,118812,17227,0,0,0,86219,2007,104620,324083,0,11488,1072,19438,54647,0,0,679
13,"hidalgo","dif-2012",0,230354,0,0,14428,0,91258,0,275218,432258,0,0,0,33196,50268,0,0,517
13,"hidalgo","dif-2015",0,111534,0,16940,13868,63625,83469,0,85936,305334,83660,0,0,18309,43888,23862,0,709
13,"hidalgo","prs-2012",1861638,215006,0,0,15237,0,50205,0,366214,499364,0,0,0,30595,17844,0,0,310
